submission_id,QUD,RT,age,comments,condition,education,endTime,evidence,evidencepic,experiment_id,gender,languages,order,question,response,startDate,startTime,timeSpent,trial_name,trial_number
3210,,1819,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Misleading3_25.png,284,male,,study_images/Decoy31.pngDecoy1|study_images/Lure3.pngLure|study_images/Truth3.pngTruth|study_images/Decoy32.pngDecoy2,Choose a map.,Lure,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,9
3210,,3331,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Uninformative6.png,284,male,,study_images/Decoy61.pngDecoy1|study_images/Lure6.pngLure|study_images/Decoy62.pngDecoy2|study_images/Truth6.pngTruth,Choose a map.,Lure,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,10
3210,,2866,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Misleading4_0.png,284,male,,study_images/Decoy42.pngDecoy2|study_images/Lure4.pngLure|study_images/Truth4.pngTruth|study_images/Decoy41.pngDecoy1,Choose a map.,Lure,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,11
3210,,4394,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Helpful2.png,284,male,,study_images/Decoy21.pngDecoy1|study_images/Decoy22.pngDecoy2|study_images/Truth2.pngTruth|study_images/Lure2.pngLure,Choose a map.,Truth,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,12
3210,,5506,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Uninformative4.png,284,male,,study_images/Decoy42.pngDecoy2|study_images/Decoy41.pngDecoy1|study_images/Lure4.pngLure|study_images/Truth4.pngTruth,Choose a map.,Truth,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,13
3210,,2529,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Misleading6_0.png,284,male,,study_images/Decoy61.pngDecoy1|study_images/Truth6.pngTruth|study_images/Lure6.pngLure|study_images/Decoy62.pngDecoy2,Choose a map.,Lure,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,14
3210,,2219,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Misleading5_50.png,284,male,,study_images/Lure5.pngLure|study_images/Decoy51.pngDecoy1|study_images/Decoy52.pngDecoy2|study_images/Truth5.pngTruth,Choose a map.,Lure,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,15
3210,,5378,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Uninformative3.png,284,male,,study_images/Decoy31.pngDecoy1|study_images/Decoy32.pngDecoy2|study_images/Lure3.pngLure|study_images/Truth3.pngTruth,Choose a map.,Truth,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,16
3210,,2041,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Helpful6.png,284,male,,study_images/Lure6.pngLure|study_images/Decoy61.pngDecoy1|study_images/Decoy62.pngDecoy2|study_images/Truth6.pngTruth,Choose a map.,Truth,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,17
3210,,1812,27,,teammate,Graduated High School,1630312431844,A teammate has left you this evidence:,study_images/Helpful4.png,284,male,,study_images/Decoy41.pngDecoy1|study_images/Decoy42.pngDecoy2|study_images/Lure4.pngLure|study_images/Truth4.pngTruth,Choose a map.,Truth,Mon Aug 30 2021 10:30:15 GMT+0200 (Central European Summer Time),1630312215607,3.60395,teammate_block_main,18
3209,,11976,27,,teammate,Graduated High School,1630312204893,A teammate has left you this evidence:,study_images/Helpful3.png,284,female,,study_images/Lure3.pngLure|study_images/Truth3.pngTruth|study_images/Decoy32.pngDecoy2|study_images/Decoy31.pngDecoy1,Choose a map.,Truth,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,teammate_block_practice,1
3209,,3129,27,,teammate,Graduated High School,1630312204893,A teammate has left you this evidence:,study_images/Misleading4_0.png,284,female,,study_images/Truth4.pngTruth|study_images/Decoy41.pngDecoy1|study_images/Decoy42.pngDecoy2|study_images/Lure4.pngLure,Choose a map.,Lure,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,teammate_block_practice,2
3209,,3686,27,,teammate,Graduated High School,1630312204893,A teammate has left you this evidence:,study_images/Uninformative5.png,284,female,,study_images/Lure5.pngLure|study_images/Truth5.pngTruth|study_images/Decoy52.pngDecoy2|study_images/Decoy51.pngDecoy1,Choose a map.,Lure,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,teammate_block_practice,3
3209,,3397,27,,teammate,Graduated High School,1630312204893,A teammate has left you this evidence:,study_images/Helpful4.png,284,female,,study_images/Decoy42.pngDecoy2|study_images/Lure4.pngLure|study_images/Decoy41.pngDecoy1|study_images/Truth4.pngTruth,Choose a map.,Truth,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,teammate_block_practice,4
3209,,4090,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Helpful1.png,284,female,,study_images/Lure1.pngLure|study_images/Truth1.pngTruth|study_images/Decoy12.pngDecoy2|study_images/Decoy11.pngDecoy1,Choose a map.,Truth,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_practice,1
3209,,6018,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Uninformative6.png,284,female,,study_images/Truth6.pngTruth|study_images/Decoy61.pngDecoy1|study_images/Decoy62.pngDecoy2|study_images/Lure6.pngLure,Choose a map.,Decoy2,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_practice,2
3209,,11821,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Uninformative4.png,284,female,,study_images/Decoy41.pngDecoy1|study_images/Lure4.pngLure|study_images/Decoy42.pngDecoy2|study_images/Truth4.pngTruth,Choose a map.,Truth,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_practice,3
3209,,5023,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Misleading2_25.png,284,female,,study_images/Lure2.pngLure|study_images/Decoy21.pngDecoy1|study_images/Truth2.pngTruth|study_images/Decoy22.pngDecoy2,Choose a map.,Decoy2,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_practice,4
3209,,13727,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Uninformative2.png,284,female,,study_images/Decoy22.pngDecoy2|study_images/Lure2.pngLure|study_images/Truth2.pngTruth|study_images/Decoy21.pngDecoy1,Choose a map.,Decoy2,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_main,1
3209,,4767,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Uninformative5.png,284,female,,study_images/Decoy52.pngDecoy2|study_images/Lure5.pngLure|study_images/Decoy51.pngDecoy1|study_images/Truth5.pngTruth,Choose a map.,Lure,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_main,2
3209,,12544,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Uninformative6.png,284,female,,study_images/Truth6.pngTruth|study_images/Decoy61.pngDecoy1|study_images/Lure6.pngLure|study_images/Decoy62.pngDecoy2,Choose a map.,Decoy2,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_main,3
3209,,8472,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Uninformative4.png,284,female,,study_images/Decoy41.pngDecoy1|study_images/Lure4.pngLure|study_images/Truth4.pngTruth|study_images/Decoy42.pngDecoy2,Choose a map.,Lure,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_main,4
3209,,2915,27,,opponent,Graduated High School,1630312204893,An opponent has left you this evidence:,study_images/Uninformative3.png,284,female,,study_images/Decoy31.pngDecoy1|study_images/Truth3.pngTruth|study_images/Decoy32.pngDecoy2|study_images/Lure3.pngLure,Choose a map.,Truth,Mon Aug 30 2021 10:25:09 GMT+0200 (Central European Summer Time),1630311909238,4.927583333333334,opponent_block_main,5
